phone model,phone price,phone image
"Honor X5b Plus - 6.5"" 128GB/4GB Dual SIM 4G Mobile Phone - Midnight Black","5,180.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
XIAOMI هاتف Redmi Note 14 - شاشة 6.7 بوصة - 128GB/8GB - شريحتين 4G - لون أسود منتصف الليل,"9,399.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Honor X9c - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Purple","18,399.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Honor X8c - Dual SIM 4G Smartphone - 256GB Storage / 8GB RAM - Marrs Green + FREE X7 Lite Earbuds,"11,990.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
XIAOMI Redmi Note 14 Pro - هاتف محمول 6.6 بوصة 256 جيجا بايت/8 جيجا بايت ثنائي الشريحة 4G - أسود,"14,499.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Infinix Hot 50i - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Sage Green,"5,333.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi Note 13 - 6.6"" 128GB/8GB Dual SIM 4G Mobile Phone - Midnight Black","8,299.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Motorola G75 موبايل مزدوج الشريحة 5G 256  جيجابايت / 8 جيجابايت - رمادي,"11,934.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Poco C75 - 6.8"" 256GB/8GB Dual SIM 4G Mobile Phone - Black","6,795.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
OPPO A3x - هاتف محمول 6.6 بوصة 128 جيجا بايت/4 جيجا بايت ثنائي الشريحة 4G - أحمر نيبولا,"6,750.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
